anime_id,title_english,type,episodes,status,duration,rating,score,rank,popularity,premiered
743,The Ocean Waves,Special,1,Finished Airing,1 hr. 12 min.,PG-13 - Teens 13 or older,6.89,3974,1914,
12689,,Special,1,Finished Airing,23 min.,PG-13 - Teens 13 or older,6.35,6188,8592,
2848,Summer Days with Coo,Movie,1,Finished Airing,2 hr. 21 min.,PG - Children,7.61,1327,3853,
25253,,OVA,3,Finished Airing,16 min. per ep.,PG-13 - Teens 13 or older,5.49,11423,10015,
3915,Time Fighters,TV,61,Finished Airing,24 min. per ep.,G - All Ages,6.62,5136,7919,Fall 1975
10697,,OVA,2,Finished Airing,19 min. per ep.,Rx - Hentai,6.13,,4892,
11867,Cipher,OVA,1,Finished Airing,40 min.,PG-13 - Teens 13 or older,5.05,8992,5570,
16690,,ONA,1,Finished Airing,4 min.,G - All Ages,6.47,5727,6730,
2076,,TV,148,Finished Airing,24 min. per ep.,R - 17+ (violence & profanity),8.11,423,3344,Spring 1997
6553,,Special,1,Finished Airing,16 min.,PG-13 - Teens 13 or older,7.65,1220,2557,
35315,ChäoS;Child: Silent Sky,Movie,1,Finished Airing,50 min.,PG-13 - Teens 13 or older,6.69,4787,3755,
7561,,TV,12,Finished Airing,3 min. per ep.,PG - Children,5.79,7822,6442,Winter 2009
626,"Protect Me, Heavenly Moon Guardian!",TV,22,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,6.76,4501,4585,Fall 1998
22101,The World is Still Beautiful,TV,12,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,7.8,890,564,Spring 2014
18087,Keroppi in Find the Pink Mushroom,OVA,1,Finished Airing,10 min.,G - All Ages,6.17,10833,11512,
3506,Connected,Music,1,Finished Airing,3 min.,PG-13 - Teens 13 or older,6.12,7020,5856,
30929,,OVA,1,Finished Airing,12 min.,G - All Ages,6.86,9574,13390,
32920,Warrior,Movie,1,Finished Airing,50 min.,G - All Ages,6,12770,13044,
34552,,ONA,12,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,6.94,3770,6386,
1619,,OVA,1,Finished Airing,24 min.,PG-13 - Teens 13 or older,7.18,2895,3014,
17505,Mushibugyo,TV,26,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,7.44,1857,1479,Spring 2013
6381,Strike Witches 2,TV,12,Finished Airing,24 min. per ep.,R+ - Mild Nudity,7.4,2049,1347,Summer 2010
